"X","Barri","Area","Habitacions","Lavabos","Preu","Immobiliaria","ConsumoEtiqueta","ConsumokW","EmisionesEtiqueta","Emisioneskg","Data.anunci","Aire_acondicionat","Moblat","Any_construccio","Calefaccio","Transport_public_proper","Llar_de_foc","Obra_nova","Piscina_propia","Plaza_parking","Ascensor","Equipamient_esportiu","Jardi_comunitari","Piscina_comunitaria","Vigilancia","Districte","Preu_m2"
1241,"Sant Gervasi - Galvany",141,3,3,720000,"VM3 FINCAS","E",148,"E",45,2022-04-01,"No","No",1959,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sarria Sant Gervasi",5106.3829787234
1242,"Baix Guinardó",73,2,2,259000,"INMO TODAY","G",999,"G",999,2022-03-28,"No","No",1980,"No","No","No","No","No","No","Yes","No","No","No","No","Horta Guinardo",3547.94520547945
1246,"Verdun",91,4,1,2e+05,"ESTUDI VIA JULIA, S.L","E",106,"E",22,2022-04-06,"Yes","No",1975,"Yes","No","No","No","No","No","No","No","No","No","No","Nou Barris",2197.8021978022
1247,"Esquerra Alta de l´Eixample",77,1,1,260000,"METRES QUADRATS","E",130,"E",32,2022-04-05,"Yes","No",1995,"Yes","No","No","No","No","No","No","No","No","No","No","Eixample",3376.62337662338
1248,"Gòtic",126,2,2,760000,"Fincas La Mallola","C",56,"B",9,2022-03-22,"Yes","No",2016,"Yes","No","No","No","No","No","Yes","No","No","No","No","Ciutat Vella",6031.74603174603
1249,"Fort Pienc",75,2,1,380000,"Ara Home","G",1,"G",1,2022-03-28,"No","No",1971,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",5066.66666666667
1250,"Camp d´en Grassot - Gràcia N.",76,2,2,325000,"FICASSO REAL ESTATE","E",190,"E",40,2022-04-07,"No","Yes",1970,"Yes","No","No","No","No","No","Yes","No","No","No","No","Gracia",4276.31578947368
1251,"Trinitat Vella",61,3,1,149000,"INMOBILIARIA IBERCASA","E",999,"E",999,2022-04-04,"No","Yes",1972,"No","No","No","No","No","No","No","No","No","No","No","Sant Andreu",2442.62295081967
1253,"Poblenou",72,3,1,315000,"Diagonal 111","E",196,"E",41,2022-04-08,"No","No",1930,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",4375
1254,"Carmel",65,3,1,175000,"AJC VECTOR","C",204,"C",43,2022-03-16,"No","No",1970,"No","No","No","No","No","No","Yes","No","No","No","No","Horta Guinardo",2692.30769230769
1255,"Esquerra Baixa de l´Eixample",86,3,2,410000,"Inmomarto S.L Grupo Inmobiliario","G",999,"G",999,2022-04-07,"Yes","No",1966,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",4767.44186046512
1257,"Vila de Gràcia",143,3,2,520000,"LA SERVICIOS INMOBILIARIOS","E",44,"G",260,2022-03-24,"Yes","No",1946,"Yes","No","No","No","No","No","Yes","No","No","No","No","Gracia",3636.36363636364
1258,"Can Baró",82,3,1,299000,"David Soto","E",1,"E",1,2022-03-15,"No","No",1969,"Yes","No","No","No","No","No","Yes","No","No","No","No","Horta Guinardo",3646.34146341463
1260,"Porta",58,3,1,169000,"FORWEX HOMES IMMOBILIARIA","E",183,"E",38,2022-03-28,"No","No",1963,"No","No","No","No","No","No","Yes","No","No","No","No","Nou Barris",2913.79310344828
1261,"Sant Martí",56,3,1,182000,"YOU HOME IN BARCELONA REAL ESTATE S. L.","G",999,"G",999,2022-04-06,"Yes","No",1965,"No","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",3250
1262,"Sant Andreu",83,2,2,295000,"TU SOLUCION INMOBILIARIA ROQUETES","D",90,"C",15,2022-03-25,"Yes","No",2008,"Yes","No","No","No","No","Yes","Yes","No","No","No","No","Sant Andreu",3554.21686746988
1263,"Esquerra Alta de l´Eixample",68,1,1,435000,"ALBIUM","G",195,"G",48,2022-04-07,"No","No",1979,"No","No","No","No","No","No","Yes","No","No","No","No","Eixample",6397.05882352941
1264,"Esquerra Alta de l´Eixample",72,2,1,450000,"Ànima Living","E",166,"E",35,2022-04-05,"Yes","No",1910,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",6250
1269,"Sant Antoni",85,3,2,358000,"Inmomarto S.L Grupo Inmobiliario","G",999,"G",999,2022-04-07,"Yes","No",1920,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",4211.76470588235
1270,"Porta",54,2,1,191000,"TU SOLUCION INMOBILIARIA ROQUETES","C",222,"C",43,2022-04-05,"No","No",1963,"No","No","No","No","No","No","Yes","No","No","No","No","Nou Barris",3537.03703703704
1276,"Fort Pienc",140,2,2,690000,"INMO TODAY","G",999,"G",999,2022-04-04,"Yes","No",1970,"No","No","No","No","No","No","Yes","No","No","No","No","Eixample",4928.57142857143
1278,"Vilapicina - Torre Llobeta",79,3,1,175000,"FINCAS BARCELONA","E",1,"E",1,2022-03-31,"Yes","Yes",1970,"Yes","No","No","No","No","No","Yes","No","No","No","No","Nou Barris",2215.18987341772
1280,"Porta",101,3,2,370000,"Nuñez y Navarro 2ª mano","B",48,"C",11,2022-04-06,"Yes","No",2005,"Yes","No","No","No","No","No","Yes","No","No","No","No","Nou Barris",3663.36633663366
1282,"Gòtic",84,3,1,260000,"Housfy Real Estate","E",130,"E",27,2022-04-09,"No","No",1850,"No","No","No","No","No","No","No","No","No","No","No","Ciutat Vella",3095.2380952381
1284,"El Clot",113,3,1,249900,"Tecnocasa - Finques Navas 1999","G",999,"G",999,2022-04-08,"Yes","No",1955,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",2211.50442477876
1288,"Camp d´en Grassot - Gràcia N.",85,3,2,512259,"Nuñez y Navarro 2ª mano","D",77,"D",15,2022-04-06,"Yes","No",2009,"Yes","No","No","No","No","No","Yes","No","No","Yes","No","Gracia",6026.57647058824
1289,"Baix Guinardó",90,3,1,299000,"Apisa","E",999,"E",999,2022-04-08,"No","No",1969,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","Horta Guinardo",3322.22222222222
1290,"Esquerra Baixa de l´Eixample",78,2,2,415000,"CHRYSOL VALUE REAL ESTATE","E",163,"E",34,2022-04-09,"Yes","No",1953,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",5320.51282051282
1293,"Sagrada Família",80,3,1,440000,"CHRYSOL VALUE REAL ESTATE","G",327,"F",55,2022-04-09,"No","Yes",1939,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",5500
1294,"Diagonal Mar - La Mar Bella",91,2,2,598000,"Amat. Barcelona - Habitatges","D",71,"D",15,2022-04-09,"Yes","No",2003,"Yes","Yes","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Sant Marti",6571.42857142857
1302,"Esquerra Alta de l´Eixample",107,5,3,773000,"Atico/Noramarti","E",111,"E",23,2022-04-04,"No","No",1991,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",7224.29906542056
1305,"Dreta de l´Eixample",133,3,2,699000,"CENTURY21 WELHOME","E",136,"E",28,2022-04-07,"Yes","No",1890,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","Eixample",5255.63909774436
1306,"Esquerra Baixa de l´Eixample",103,5,1,490000,"Immo-Facil-Eixample Esquerre (venta)","E",162,"E",31,2022-04-08,"No","No",1900,"No","Yes","No","No","No","No","Yes","No","No","No","No","Eixample",4757.28155339806
1307,"Putget - Farró",114,3,2,485000,"Cornex Capital","E",999,"E",999,2022-04-07,"No","No",1980,"No","Yes","No","No","No","No","Yes","No","No","No","No","Sarria Sant Gervasi",4254.38596491228
1309,"Sants",92,4,2,370000,"FINQUES BUSINFREU","E",132,"E",38,2022-04-01,"Yes","Yes",1928,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sants Montjuic",4021.73913043478
1311,"Vila de Gràcia",64,2,1,310000,"Amat. Barcelona - Habitatges","E",129,"E",27,2022-04-09,"Yes","No",1863,"Yes","Yes","No","No","No","No","No","No","No","No","No","Gracia",4843.75
1315,"Hostafrancs",106,4,2,365000,"RMP Real Estate","E",181,"E",33,2022-04-08,"Yes","No",1982,"No","No","No","No","No","No","Yes","No","No","No","No","Sants Montjuic",3443.39622641509
1316,"Putget - Farró",100,2,2,570000,"PARTE ALTA","E",150,"E",31,2022-04-01,"Yes","No",1964,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sarria Sant Gervasi",5700
1317,"Fort Pienc",93,4,2,479000,"ESPAI BCN FLATS","G",999,"G",999,2022-04-08,"Yes","No",1991,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","Eixample",5150.5376344086
1318,"Sant Antoni",109,3,2,699000,"FINQUES CABELLO","D",84,"C",14,2022-04-09,"Yes","Yes",1960,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","Eixample",6412.84403669725
1322,"Guinardó",81,3,2,399000,"Vivendex","B",32,"A",5,2022-03-23,"Yes","No",2021,"Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","Horta Guinardo",4925.92592592593
1324,"Esquerra Alta de l´Eixample",70,2,1,375000,"Coldwell Banker  Eminent","E",133,"E",28,2022-04-08,"Yes","No",1974,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","Eixample",5357.14285714286
1326,"El Coll",70,2,1,190000,"Webhouse","G",999,"G",999,2022-04-08,"No","Yes",1972,"No","Yes","No","No","No","Yes","No","No","No","No","No","Gracia",2714.28571428571
1327,"Esquerra Alta de l´Eixample",72,2,1,450000,"Atico/Noramarti","E",166,"E",35,2022-03-18,"Yes","No",1910,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",6250
1329,"Esquerra Alta de l´Eixample",83,3,2,375000,"TEMPORE PROPERTIES SOCIMI","G",999,"G",999,2022-03-03,"No","No",1959,"No","No","No","No","No","No","Yes","No","No","No","No","Eixample",4518.07228915663
1331,"Sagrada Família",67,2,1,292000,"CENTURY 21 NEW ESTATE","E",999,"E",999,2022-04-07,"Yes","No",1952,"No","No","No","No","No","No","Yes","No","No","No","No","Eixample",4358.20895522388
1333,"Sant Antoni",95,4,1,358000,"AGN Servicios Integrales","G",999,"G",999,2022-04-07,"Yes","No",1959,"Yes","Yes","No","No","No","No","Yes","No","No","No","Yes","Eixample",3768.42105263158
1334,"Navas",90,4,2,275000,"Tecnocasa - Finques Navas 1999","E",190,"E",40,2022-04-08,"Yes","No",1987,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","Sant Andreu",3055.55555555556
1336,"Provençals del Poblenou",47,3,1,198000,"Comgrup","F",56,"G",287,2022-04-06,"No","No",1900,"No","Yes","No","No","No","No","Yes","No","No","No","No","Sant Marti",4212.76595744681
1337,"La Marina-Montjuïc",110,4,2,364000,"Ángela Clair Real Estate Consulting","E",126,"E",65,2022-04-07,"Yes","No",1991,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","Sants Montjuic",3309.09090909091
1338,"Vilapicina - Torre Llobeta",79,2,2,365000,"CENTURY 21 NEW ESTATE","B",41,"B",8,2022-03-29,"Yes","No",2021,"No","No","No","No","No","No","Yes","No","No","No","No","Nou Barris",4620.25316455696
1341,"Sant Gervasi - Bonanova",203,5,2,895000,"Proddigia Barcelona","E",999,"G",999,2022-04-09,"Yes","No",1944,"Yes","No","Yes","No","No","No","Yes","No","No","No","No","Sarria Sant Gervasi",4408.86699507389
1343,"Prosperitat",85,4,2,254000,"Inmoredes","E",138,"E",39,2022-03-29,"Yes","No",1967,"Yes","Yes","No","No","No","Yes","Yes","Yes","No","No","No","Nou Barris",2988.23529411765
1345,"Esquerra Baixa de l´Eixample",46,2,1,245000,"FINQUES GIRAMON","G",286,"G",60,2022-03-11,"No","No",1936,"No","No","No","No","No","No","Yes","No","No","No","No","Eixample",5326.08695652174
1346,"Prosperitat",80,3,1,178000,"ABP GESTIO i ADMINISTRACIO","G",275,"F",53,2022-03-30,"Yes","No",1975,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","Nou Barris",2225
1349,"Baix Guinardó",65,3,1,185000,"Tecnocasa","E",160,"E",32,2022-04-08,"Yes","No",1954,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","Horta Guinardo",2846.15384615385
1351,"Sant Gervasi - Galvany",120,4,2,750000,"Proddigia Barcelona","D",999,"C",999,2022-04-09,"No","No",1958,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sarria Sant Gervasi",6250
1352,"Fort Pienc",71,3,1,249000,"Fincas Eva","F",238,"F",50,2022-04-09,"No","No",1920,"No","Yes","No","No","No","No","Yes","No","No","No","No","Eixample",3507.04225352113
1353,"Fort Pienc",98,3,2,567640,"ALL4FLAT","B",30,"B",7,2022-04-08,"Yes","Yes",2020,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",5792.24489795918
1354,"Esquerra Baixa de l´Eixample",80,3,1,330000,"Clic House","E",999,"E",999,2022-04-05,"Yes","No",1945,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","Eixample",4125
1355,"St. Pere - Sta. Caterina - El Born",100,2,2,590000,"Fastighetsbyran","C",64,"C",10,2022-04-08,"Yes","Yes",2016,"Yes","Yes","No","No","No","No","Yes","No","Yes","No","No","Ciutat Vella",5900
1357,"Vallcarca - Penitents",59,2,1,173000,"Webhouse","G",999,"G",999,2022-04-08,"No","No",1970,"Yes","Yes","No","No","No","No","No","No","No","No","No","Gracia",2932.20338983051
1360,"Roquetes",52,1,1,99000,"APL.BARCELONA","G",999,"G",999,2022-03-31,"No","No",1977,"Yes","Yes","No","No","No","No","No","No","No","No","No","Nou Barris",1903.84615384615
1362,"Sagrada Família",85,3,2,349900,"Inmo GV 60","E",167,"E",28,2022-03-11,"Yes","No",1985,"Yes","Yes","No","No","No","No","Yes","No","No","No","Yes","Eixample",4116.47058823529
1364,"Gòtic",87,2,2,440000,"BCN TRADIS","E",151,"E",25,2022-03-23,"Yes","No",1840,"Yes","Yes","No","No","No","Yes","Yes","No","No","No","Yes","Ciutat Vella",5057.47126436782
1366,"Esquerra Alta de l´Eixample",97,3,3,5e+05,"DUX GRUPO INMOBILAIRIO","G",999,"G",999,2022-03-23,"Yes","No",1972,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",5154.63917525773
1367,"Sant Antoni",103,4,2,370000,"Fastighetsbyran","E",152,"E",32,2022-03-25,"No","No",1970,"Yes","Yes","No","No","No","No","Yes","No","No","No","Yes","Eixample",3592.23300970874
1369,"Esquerra Alta de l´Eixample",120,3,2,650000,"Luxury maresme","G",999,"G",999,2022-04-06,"Yes","Yes",2009,"Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","Eixample",5416.66666666667
1370,"Camp d´en Grassot - Gràcia N.",96,4,1,380000,"Ángela Clair Real Estate Consulting","F",125,"F",25,2022-04-07,"No","No",1960,"No","Yes","No","No","No","No","Yes","No","No","No","No","Gracia",3958.33333333333
1373,"Camp de l´Arpa",98,4,2,299000,"Immo-Facil-Eixample Dret (venta)","G",999,"G",999,2022-04-07,"No","No",1960,"No","Yes","No","No","No","No","Yes","No","No","No","No","Sant Marti",3051.02040816327
1374,"Les Corts",76,3,1,379000,"Immo-Facil-Eixample Dret (venta)","E",201,"E",42,2022-04-08,"No","No",1969,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","Les Corts",4986.84210526316
1377,"Poble Sec",68,2,1,145000,"Grupo tu inmobiliaria","F",187,"F",39,2022-04-08,"No","No",1967,"No","Yes","No","No","No","No","No","No","No","No","No","Sants Montjuic",2132.35294117647
1378,"Camp d´en Grassot - Gràcia N.",67,2,1,435000,"Coldwell Banker  Eminent","G",415,"G",87,2022-04-08,"Yes","No",1952,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","Gracia",6492.53731343284
1382,"Badal",72,3,1,215000,"Kiwi Bricks Barcelona","E",162,"E",34,2022-04-01,"No","No",1956,"Yes","Yes","No","No","No","No","No","No","No","No","No","Sants Montjuic",2986.11111111111
1385,"St. Pere - Sta. Caterina - El Born",125,3,2,690000,"Habitat Barcelona","G",999,"G",999,2022-04-01,"Yes","No",1852,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","Ciutat Vella",5520
1387,"Les Corts",104,1,2,350000,"Fastighetsbyran","D",89,"C",15,2022-04-07,"Yes","No",1993,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","Les Corts",3365.38461538462
1388,"Navas",53,3,1,205000,"Vivendex","E",180,"E",38,2022-04-04,"Yes","No",1952,"No","Yes","No","No","No","Yes","Yes","No","No","No","No","Sant Andreu",3867.92452830189
1389,"Camp de l´Arpa",92,3,2,419000,"Nova Domus","B",30,"A",6,2022-04-06,"Yes","No",2021,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","Sant Marti",4554.34782608696
1390,"Horta",50,2,1,189000,"Apisa","G",999,"G",999,2022-04-08,"No","No",1968,"No","Yes","No","No","No","No","No","No","No","No","No","Horta Guinardo",3780
1391,"Sants",140,3,2,825000,"Proddigia Barcelona","E",999,"E",999,2022-04-09,"Yes","Yes",1970,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sants Montjuic",5892.85714285714
1392,"Esquerra Alta de l´Eixample",76,3,1,379900,"Toresfa","E",186,"E",38,2022-04-09,"No","No",1892,"No","No","No","No","No","No","Yes","No","No","No","No","Eixample",4998.68421052632
1394,"Raval",45,2,1,175000,"Webhouse","G",999,"G",999,2022-04-08,"No","Yes",1810,"No","Yes","No","No","No","No","Yes","No","No","No","No","Ciutat Vella",3888.88888888889
1395,"Provençals del Poblenou",112,3,2,545000,"Cornex Capital","E",151,"E",25,2022-04-07,"No","No",2007,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","Sant Marti",4866.07142857143
1396,"Putget - Farró",70,3,1,365000,"Webhouse Santgervasi","G",999,"G",999,2022-04-08,"No","No",1975,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","Sarria Sant Gervasi",5214.28571428571
1397,"Esquerra Alta de l´Eixample",122,3,2,650000,"Proddigia Barcelona","E",999,"E",999,2022-04-09,"Yes","Yes",1947,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",5327.86885245902
1400,"Sarrià",108,3,2,580000,"ENGEL & VOELKERS","E",134,"E",28,2022-03-28,"No","No",1880,"No","No","No","No","No","No","Yes","No","No","No","No","Sarria Sant Gervasi",5370.37037037037
1402,"Font de la Guatlla",99,3,1,259000,"La llar online","G",999,"G",999,2022-04-06,"No","No",1955,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","Sants Montjuic",2616.16161616162
1404,"Camp de l´Arpa",36,1,1,69800,"Fincas Puente","F",226,"E",38,2022-04-01,"No","No",1925,"No","Yes","No","No","No","No","No","No","Yes","No","No","Sant Marti",1938.88888888889
1406,"Esquerra Baixa de l´Eixample",164,5,2,550000,"Finques Urgell","E",147,"E",41,2022-04-07,"No","No",1966,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",3353.65853658537
1407,"Guinardó",110,3,2,365000,"Inmodom","G",999,"G",999,2022-03-24,"Yes","No",2001,"No","Yes","No","No","No","Yes","Yes","No","No","No","No","Horta Guinardo",3318.18181818182
1408,"Poblenou",58,3,1,230000,"GAND HOUSE","E",162,"F",42,2022-03-31,"No","No",1970,"No","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",3965.51724137931
1409,"Vallcarca - Penitents",117,3,2,325000,"Arumí Associats","F",236,"F",49,2022-04-08,"No","Yes",1957,"Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","Gracia",2777.77777777778
1411,"Sagrada Família",83,3,1,395000,"Solfinc","E",180,"E",36,2022-03-23,"Yes","No",1973,"Yes","Yes","No","No","No","No","Yes","No","No","No","Yes","Eixample",4759.03614457831
1412,"La Marina-Montjuïc",101,4,1,259000,"LA CASA AGENCY - PUNTO HOSPITALET","E",125,"E",25,2022-03-23,"Yes","No",1974,"No","No","No","No","No","No","Yes","No","No","No","No","Sants Montjuic",2564.35643564356
1413,"Sant Ramon - Maternitat",119,4,2,520000,"DIAGONAL CASA","E",999,"E",999,2022-03-31,"No","No",1966,"Yes","No","No","No","No","No","Yes","No","No","No","No","Les Corts",4369.74789915966
1416,"Esquerra Baixa de l´Eixample",73,2,1,229000,"CENTURY 21 NEW ESTATE","C",108,"C",20,2022-04-07,"No","No",1970,"No","No","No","No","No","No","Yes","No","No","No","No","Eixample",3136.98630136986
1417,"Sant Gervasi - Galvany",106,3,2,410000,"VAdPISOS","E",154,"E",32,2022-04-08,"No","No",1914,"Yes","Yes","No","No","No","No","No","No","No","No","No","Sarria Sant Gervasi",3867.92452830189
1418,"Gòtic",89,1,1,210000,"Vivendex","F",228,"E",47,2022-03-25,"Yes","No",1910,"Yes","Yes","No","No","No","No","No","No","No","No","No","Ciutat Vella",2359.55056179775
1419,"Vilapicina - Torre Llobeta",60,3,1,225000,"La Casa Agency NouBarris","G",999,"G",99,2022-03-29,"Yes","Yes",1975,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","Nou Barris",3750
1420,"Putget - Farró",41,1,1,180000,"Webhouse Santgervasi","E",105,"D",19,2022-04-08,"Yes","No",1977,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","Sarria Sant Gervasi",4390.24390243902
1423,"Hostafrancs",67,3,1,365000,"LA CASA AGENCY - LLEFIA REAL ESTATE","D",205,"E",25,2022-04-01,"No","No",2006,"No","No","No","No","No","No","Yes","No","No","No","No","Sants Montjuic",5447.76119402985
1424,"Hostafrancs",70,3,1,209000,"LA CASA AGENCY - LLEFIA REAL ESTATE","E",162,"E",31,2022-04-05,"No","No",1965,"No","No","No","No","No","No","Yes","No","No","No","No","Sants Montjuic",2985.71428571429
1426,"Putget - Farró",183,5,3,650000,"VM3 FINCAS","E",176,"E",37,2022-04-01,"Yes","No",1958,"Yes","No","No","No","No","Yes","Yes","No","No","No","No","Sarria Sant Gervasi",3551.91256830601
1430,"Raval",46,2,1,120000,"Siva","G",999,"G",999,2022-03-31,"No","No",1977,"No","Yes","No","No","No","No","Yes","No","No","No","No","Ciutat Vella",2608.69565217391
1431,"Congrés - Indians",62,2,1,199000,"La Casa Agency NouBarris","E",120,"E",50,2022-04-06,"No","No",1979,"Yes","Yes","No","No","No","No","Yes","No","No","No","Yes","Sant Andreu",3209.67741935484
1433,"Sant Martí",86,3,1,245000,"LA CASA AGENCY - LLEFIA REAL ESTATE","G",999,"G",999,2022-04-08,"Yes","No",1966,"No","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",2848.83720930233
1434,"Fort Pienc",140,4,2,435000,"La Casa Agency Premium Sant Cugat","E",123,"E",113,2022-03-01,"Yes","Yes",1930,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",3107.14285714286
1436,"Les Corts",79,4,1,330000,"FINCAS CASTAN","G",999,"G",999,2022-03-22,"Yes","No",1966,"Yes","No","No","No","No","No","Yes","No","No","No","No","Les Corts",4177.21518987342
1437,"Poble Sec",75,3,2,277000,"CHESTER REAL ESTATE","D",126,"D",96,2022-04-08,"Yes","No",1969,"Yes","Yes","No","No","No","No","No","No","No","No","No","Sants Montjuic",3693.33333333333
1439,"Sant Martí",68,2,1,225000,"LA CASA AGENCY - LLEFIA REAL ESTATE","E",129,"E",31,2022-04-08,"No","No",1966,"No","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",3308.82352941176
1440,"Baix Guinardó",53,2,1,199000,"HOME GLOBAL","G",999,"G",999,2022-04-08,"No","Yes",1963,"No","Yes","No","No","No","No","No","No","Yes","No","No","Horta Guinardo",3754.71698113208
1443,"Dreta de l´Eixample",93,4,2,460000,"Gabinete Jorvi","E",185,"E",38,2022-04-01,"Yes","No",1910,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","Eixample",4946.23655913978
1444,"Navas",91,4,2,350000,"ESPAI BCN FLATS","E",133,"E",27,2022-04-08,"Yes","No",1981,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","Sant Andreu",3846.15384615385
1445,"Sant Antoni",88,2,1,275000,"Finques Urgell","C",63,"C",12,2022-04-07,"No","No",1900,"No","No","No","No","No","No","Yes","No","No","No","No","Eixample",3125
1452,"Fort Pienc",188,4,2,725000,"Cuarta Planta","G",999,"G",999,2021-10-01,"Yes","No",1998,"Yes","No","No","No","No","Yes","Yes","No","No","No","No","Eixample",3856.3829787234
1454,"Sant Andreu",72,1,1,215000,"GROUP ANDREU","G",999,"G",123,2022-03-24,"No","No",1950,"No","No","No","No","No","No","Yes","No","No","No","No","Sant Andreu",2986.11111111111
1456,"Sant Andreu",116,2,2,295000,"LA CASA AGENCY SANT ANDREU","G",999,"G",99,2022-04-09,"Yes","Yes",2008,"Yes","No","No","No","No","Yes","Yes","No","No","No","No","Sant Andreu",2543.10344827586
1458,"Badal",110,4,2,480000,"Aurea Magna","G",999,"G",999,2022-04-07,"Yes","Yes",1979,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sants Montjuic",4363.63636363636
1459,"La Guineueta",104,4,2,390000,"Grau Serveis Inmobiliaris","D",98,"D",20,2022-04-04,"Yes","No",1976,"Yes","No","No","No","No","No","Yes","No","No","No","No","Nou Barris",3750
1461,"Vila Olímpica",158,3,2,645000,"PRIVALORE INMUEBLES SL","E",200,"E",40,2022-03-23,"No","No",1992,"No","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",4082.27848101266
1462,"Sant Martí",75,3,1,259000,"Pohl Tuker","E",156,"E",32,2022-04-06,"Yes","No",1955,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",3453.33333333333
1463,"Sant Gervasi - Galvany",153,4,3,660000,"GOLDEN SQUARE BARCELONA","E",130,"E",24,2022-04-01,"No","No",1961,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sarria Sant Gervasi",4313.72549019608
1466,"St. Pere - Sta. Caterina - El Born",134,3,2,880000,"APROPERTIES REAL ESTATE BARCELONA Nº Aicat 6388","D",100,"D",10,2021-11-04,"Yes","No",1946,"Yes","No","No","No","No","No","Yes","No","No","No","No","Ciutat Vella",6567.16417910448
1467,"Vila Olímpica",101,1,1,420000,"COVEAL REAL ESTATE","G",999,"G",999,2022-04-08,"Yes","No",1992,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",4158.41584158416
1471,"Taxonera",35,1,1,95000,"FINCADOR SERVEIS IMMOBILIARIS","B",31,"A",5,2022-03-15,"No","No",2020,"No","No","No","No","No","No","Yes","No","No","No","No","Horta Guinardo",2714.28571428571
1474,"Besòs - Maresme",90,3,1,270000,"PUNT SAGRADA FAMILIA, S.L.","E",122,"E",20,2022-02-11,"Yes","Yes",1977,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",3000
1475,"Poble Sec",55,2,1,275000,"CHESTER REAL ESTATE","D",122,"D",96,2022-04-04,"Yes","Yes",1900,"No","Yes","No","No","No","No","No","No","No","No","No","Sants Montjuic",5000
1477,"La Guineueta",65,3,1,240000,"Finques Navarrete","E",162,"E",30,2022-04-09,"Yes","No",1967,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","Nou Barris",3692.30769230769
1481,"Sant Ramon - Maternitat",83,4,2,365000,"Servicios De Intermediación Financiera La Casa Gru","C",110,"C",110,2022-03-24,"No","No",1977,"No","No","No","No","No","No","Yes","No","No","No","No","Les Corts",4397.59036144578
1488,"Sant Martí",119,3,1,235000,"LA CASA AGENCY","E",207,"E",42,2022-03-30,"Yes","No",1957,"No","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",1974.78991596639
1489,"Vilapicina - Torre Llobeta",75,2,1,225000,"MERCAT INMOBILIARI CATALA","D",1,"D",1,2022-04-05,"Yes","No",1962,"No","No","No","No","No","No","No","No","No","No","No","Nou Barris",3000
1490,"Vila de Gràcia",86,3,2,495000,"ENGEL & VOELKERS","G",240,"E",999,2022-03-21,"No","No",1970,"No","No","No","No","No","No","Yes","No","No","No","No","Gracia",5755.81395348837
