"X","Barri","Area","Habitacions","Lavabos","Preu","Immobiliaria","ConsumoEtiqueta","ConsumokW","EmisionesEtiqueta","Emisioneskg","Data.anunci","Aire_acondicionat","Moblat","Any_construccio","Calefaccio","Transport_public_proper","Llar_de_foc","Obra_nova","Piscina_propia","Plaza_parking","Ascensor","Equipamient_esportiu","Jardi_comunitari","Piscina_comunitaria","Vigilancia","Districte","Preu_m2"
66,"Baix Guinardó",104,3,1,360000,"Sarria Properties Sl","E",121,"E",30,2022-04-06,"No","No",1951,"No","No","No","No","No","No","Yes","No","No","No","No","Horta Guinardo",3461.53846153846
67,"Esquerra Alta de l´Eixample",171,3,3,720000,"DUX GRUPO INMOBILAIRIO","G",999,"G",999,2022-03-21,"Yes","No",1972,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",4210.52631578947
69,"Camp de l´Arpa",113,4,2,4e+05,"HiHOMiE","D",999,"D",999,2022-03-07,"Yes","No",1983,"No","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",3539.82300884956
70,"Prosperitat",82,2,1,250000,"Prontopiso","C",999,"C",999,2022-04-07,"No","No",1971,"Yes","No","No","No","No","No","No","No","No","No","No","Nou Barris",3048.78048780488
74,"Sant Gervasi - Galvany",167,5,3,850000,"DUX GRUPO INMOBILAIRIO","G",999,"G",999,2022-02-17,"Yes","No",1940,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sarria Sant Gervasi",5089.82035928144
76,"Esquerra Baixa de l´Eixample",141,4,2,695000,"FINQUES MUR","G",287,"G",60,2022-04-06,"Yes","No",1962,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",4929.0780141844
78,"Navas",50,3,1,220000,"LA CASA GRUP","F",999,"F",999,2022-04-06,"Yes","No",1930,"No","No","No","No","No","No","Yes","No","No","No","No","Sant Andreu",4400
81,"La Bordeta",80,3,1,270000,"FINCAS GP","E",178,"E",37,2022-04-05,"Yes","No",1993,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sants Montjuic",3375
86,"Sant Martí",79,1,1,210000,"LA CASA GRUP","F",999,"F",999,2022-04-06,"Yes","No",2009,"Yes","No","No","No","No","No","Yes","No","No","Yes","No","Sant Marti",2658.22784810127
87,"Fort Pienc",81,5,1,350000,"HOMIM","E",119,"E",30,2022-04-06,"No","No",1910,"No","No","No","No","No","No","Yes","No","No","No","No","Eixample",4320.98765432099
88,"La Verneda - La Pau",64,3,1,125000,"LA CASA GRUP","F",999,"F",999,2022-03-24,"No","No",1966,"No","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",1953.125
90,"Poble Sec",84,3,2,259000,"FINCAS GP","E",167,"E",34,2022-03-22,"Yes","Yes",1973,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sants Montjuic",3083.33333333333
91,"Vallcarca - Penitents",117,3,2,639000,"HOMIM","E",211,"E",41,2022-04-06,"Yes","No",1966,"Yes","No","No","No","No","Yes","Yes","No","No","No","No","Gracia",5461.53846153846
