,Barri,Area,Habitacions,Lavabos,Preu,Immobiliaria,ConsumoEtiqueta,ConsumokW,EmisionesEtiqueta,Emisioneskg,Data anunci,Aire_acondicionat,Moblat,Any_construccio,Calefaccio,Transport_public_proper,Llar_de_foc,Obra_nova,Piscina_propia,Plaza_parking,Ascensor,Equipamient_esportiu,Jardi_comunitari,Piscina_comunitaria,Vigilancia,Districte
147,Sant Antoni,124,3,2,469000.0,CASAVO,D,999.0,D,999.0,09/04/2022,1,0,1970,0,0,0,0,0,0,1,0,0,0,0,Eixample
148,La Guineueta,105,4,1,335000.0,HOMIM,G,244.0,F,51.0,07/03/2022,0,0,1965,0,0,0,0,0,0,1,0,0,0,0,Nou Barris
149,Camp de l´Arpa,159,5,2,1175000.0,FINQUES CAMPANYÁ,E,166.0,E,35.0,25/03/2022,1,0,1971,1,0,0,0,0,0,1,0,0,0,0,Sant Marti
150,Hostafrancs,80,3,1,305000.0,AGENCIA BCN REAL ESTATE,E,165.0,E,34.0,08/04/2022,1,1,1917,1,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
151,Sagrada Família,51,2,1,269000.0,FINQUES LEMI,G,237.0,G,61.0,21/03/2022,1,0,1930,1,0,0,0,0,0,0,0,0,0,0,Eixample
152,Barceloneta,65,1,1,367500.0,Next Door Bcn,D,123.0,D,78.0,11/03/2022,1,1,2010,1,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
153,Sant Martí,65,2,1,135000.0,PROYECTO CASA,E,195.0,E,41.0,02/04/2022,0,0,1968,0,0,0,0,0,0,0,0,0,0,0,Sant Marti
155,Horta,305,4,2,380000.0,DON CASA,F,224.0,E,47.0,23/03/2022,1,0,1965,0,0,0,0,0,0,1,0,0,0,0,Horta Guinardo
157,Sant Antoni,80,3,1,340000.0,CLIKALIA,E,159.0,E,33.0,07/04/2022,1,0,1955,1,0,0,0,0,0,1,0,0,0,0,Eixample
160,Fort Pienc,90,3,1,350000.0,COLIBREE,E,152.0,E,31.0,01/04/2022,0,0,1925,0,0,0,0,0,0,1,0,0,0,0,Eixample
161,Sant Gervasi - Galvany,132,3,2,705000.0,Sarria Properties Sl,E,129.0,E,29.0,08/04/2022,0,0,1951,1,0,0,0,0,1,1,0,0,0,0,Sarria Sant Gervasi
166,Esquerra Baixa de l´Eixample,100,3,2,465000.0,FINCAS GP,G,999.0,G,999.0,06/04/2022,1,0,1925,1,0,0,0,0,0,1,0,0,0,0,Eixample
